year,rotation,site_id,nrate_kgha,leaching_kgha
2013,cc,masa,0,3.7
2013,cc,masa,56,6.8
2013,cc,masa,112,13.3
2013,cc,masa,168,55
2013,cc,masa,224,94.3
2013,cc,masa,250,113.3
2013,cc,masa,300,152.6
2013,cc,rand,0,6.4
2013,cc,rand,56,9.6
2013,cc,rand,112,13.3
2013,cc,rand,168,30.7
2013,cc,rand,224,70.4
2013,cc,rand,250,89.8
2013,cc,rand,300,126.6
2013,cc,suth,0,4.2
2013,cc,suth,56,8.1
2013,cc,suth,112,14
2013,cc,suth,168,21.9
2013,cc,suth,224,37.6
2013,cc,suth,250,46.4
2013,cc,suth,300,63.4
2013,cs,gent,0,18.1
2013,cs,gent,56,21.1
2013,cs,gent,112,27
2013,cs,gent,168,35.5
2013,cs,gent,224,44.2
2013,cs,gent,250,48
2013,cs,gent,300,55.8
2013,cs,gilm,0,9.8
2013,cs,gilm,56,12.5
2013,cs,gilm,112,16.2
2013,cs,gilm,168,22.5
2013,cs,gilm,224,29.9
2013,cs,gilm,250,33.5
2013,cs,gilm,300,40.7
2013,cs,gold,0,3.7
2013,cs,gold,56,4.1
2013,cs,gold,112,7.1
2013,cs,gold,168,11.7
2013,cs,gold,224,16
2013,cs,gold,250,18.6
2013,cs,gold,300,25.1
2013,cs,hoff,0,13.4
2013,cs,hoff,56,13.5
2013,cs,hoff,112,18.5
2013,cs,hoff,168,25
2013,cs,hoff,224,31.7
2013,cs,hoff,250,34.8
2013,cs,hoff,300,41.2
2013,cs,hugg,0,10.6
2013,cs,hugg,56,12.4
2013,cs,hugg,112,16.9
2013,cs,hugg,168,28.2
2013,cs,hugg,224,36.8
2013,cs,hugg,250,41
2013,cs,hugg,300,49.7
2013,cs,klad,0,2
2013,cs,klad,56,2.4
2013,cs,klad,112,5.5
2013,cs,klad,168,8.8
2013,cs,klad,224,12.1
2013,cs,klad,250,13.7
2013,cs,klad,300,16.9
2013,cs,masa,0,5.9
2013,cs,masa,56,7.7
2013,cs,masa,112,9.4
2013,cs,masa,168,14.4
2013,cs,masa,224,20.1
2013,cs,masa,250,22.7
2013,cs,masa,300,29.1
2013,cs,rand,0,3.5
2013,cs,rand,56,3.8
2013,cs,rand,112,4.2
2013,cs,rand,168,4.9
2013,cs,rand,224,5.6
2013,cs,rand,250,6
2013,cs,rand,300,7.6
2013,cs,suth,0,2.1
2013,cs,suth,56,2.5
2013,cs,suth,112,2.9
2013,cs,suth,168,3.2
2013,cs,suth,224,3.6
2013,cs,suth,250,3.7
2013,cs,suth,300,3.9
2014,cc,gent,0,7.8
2014,cc,gent,56,12.6
2014,cc,gent,112,18.2
2014,cc,gent,168,51.1
2014,cc,gent,224,102.1
2014,cc,gent,250,125.8
2014,cc,gent,300,170
2014,cc,gilm,0,4.1
2014,cc,gilm,56,10.2
2014,cc,gilm,112,19.5
2014,cc,gilm,168,55.1
2014,cc,gilm,224,110.3
2014,cc,gilm,250,135.7
2014,cc,gilm,300,183.5
2014,cc,gold,0,0.9
2014,cc,gold,56,1.5
2014,cc,gold,112,9.2
2014,cc,gold,168,26.9
2014,cc,gold,224,45.5
2014,cc,gold,250,54.4
2014,cc,gold,300,71
2014,cc,hoff,56,13.1
2014,cc,hoff,112,22.8
2014,cc,hoff,168,87.1
2014,cc,hoff,224,143.8
2014,cc,hoff,250,168.6
2014,cc,hoff,300,217.4
2014,cc,hugg,0,4.1
2014,cc,hugg,56,6.2
2014,cc,hugg,112,11.8
2014,cc,hugg,168,61
2014,cc,hugg,224,108
2014,cc,hugg,250,129.7
2014,cc,hugg,300,170.2
2014,cc,klad,0,1.5
2014,cc,klad,56,3.1
2014,cc,klad,112,4.9
2014,cc,klad,168,14.4
2014,cc,klad,224,22.6
2014,cc,klad,250,26.9
2014,cc,klad,300,35.4
2014,cc,masa,0,1.1
2014,cc,masa,56,3.4
2014,cc,masa,112,6.9
2014,cc,masa,168,28.5
2014,cc,masa,224,63.1
2014,cc,masa,250,80.1
2014,cc,masa,300,110.1
2014,cc,rand,0,2.6
2014,cc,rand,56,5.8
2014,cc,rand,112,9.6
2014,cc,rand,168,28.8
2014,cc,rand,224,70.1
2014,cc,rand,250,88.4
2014,cc,rand,300,125.9
2014,cc,suth,0,0.2
2014,cc,suth,56,0.5
2014,cc,suth,112,0.9
2014,cc,suth,168,1.2
2014,cc,suth,224,5.8
2014,cc,suth,250,8.4
2014,cc,suth,300,13.1
2014,cs,gent,0,10.2
2014,cs,gent,56,11.7
2014,cs,gent,112,20.3
2014,cs,gent,168,33.9
2014,cs,gent,224,51.5
2014,cs,gent,250,61
2014,cs,gent,300,78.9
2014,cs,gilm,0,3.6
2014,cs,gilm,56,8.2
2014,cs,gilm,112,18
2014,cs,gilm,168,36.5
2014,cs,gilm,224,55.7
2014,cs,gilm,250,64.8
2014,cs,gilm,300,82.5
2014,cs,gold,0,1.7
2014,cs,gold,56,2.5
2014,cs,gold,112,8
2014,cs,gold,168,14.1
2014,cs,gold,224,19.8
2014,cs,gold,250,22.3
2014,cs,gold,300,27.5
2014,cs,hoff,0,12.2
2014,cs,hoff,56,16.8
2014,cs,hoff,112,24.5
2014,cs,hoff,168,36.5
2014,cs,hoff,224,49.3
2014,cs,hoff,250,55.6
2014,cs,hoff,300,67.9
2014,cs,hugg,0,5.1
2014,cs,hugg,56,6.1
2014,cs,hugg,112,7.6
2014,cs,hugg,168,13.2
2014,cs,hugg,224,19.8
2014,cs,hugg,250,22.8
2014,cs,hugg,300,31.4
2014,cs,klad,0,1.9
2014,cs,klad,56,1.9
2014,cs,klad,112,5.2
2014,cs,klad,168,9.4
2014,cs,klad,224,12.8
2014,cs,klad,250,14.6
2014,cs,klad,300,18.4
2014,cs,masa,0,2.6
2014,cs,masa,56,2.9
2014,cs,masa,112,4.4
2014,cs,masa,168,10.9
2014,cs,masa,224,16.9
2014,cs,masa,250,20
2014,cs,masa,300,25.9
2014,cs,rand,0,1.5
2014,cs,rand,56,2.1
2014,cs,rand,112,2.8
2014,cs,rand,168,3.8
2014,cs,rand,224,5.2
2014,cs,rand,250,6.7
2014,cs,rand,300,11.7
2014,cs,suth,0,0.2
2014,cs,suth,56,0.2
2014,cs,suth,112,0.2
2014,cs,suth,168,0.2
2014,cs,suth,224,0.2
2014,cs,suth,250,0.2
2014,cs,suth,300,0.2
2015,cc,gent,0,8.3
2015,cc,gent,56,15.9
2015,cc,gent,112,28.1
2015,cc,gent,168,70.3
2015,cc,gent,224,124
2015,cc,gent,250,149.8
2015,cc,gent,300,197.1
2015,cc,gilm,0,5.6
2015,cc,gilm,56,11.2
2015,cc,gilm,112,19.1
2015,cc,gilm,168,64.2
2015,cc,gilm,224,112.5
2015,cc,gilm,250,134.3
2015,cc,gilm,300,176.7
2015,cc,gold,0,0.2
2015,cc,gold,56,0.4
2015,cc,gold,112,1.9
2015,cc,gold,168,10.6
2015,cc,gold,224,20.2
2015,cc,gold,250,24.6
2015,cc,gold,300,33
2015,cc,hoff,0,5.2
2015,cc,hoff,56,17.1
2015,cc,hoff,112,36.3
2015,cc,hoff,168,81.4
2015,cc,hoff,224,130.6
